#gamble(gambleid, high return, high prob, medium return, med prob, low return, low prob)
000, 09.340, 0.066, 02.393, 0.455, 00.610, 0.478
001, 05.866, 0.225, 01.500, 0.421, 00.140, 0.354
002, 06.835, 0.128, 01.772, 0.489, 00.680, 0.383
003, 06.539, 0.191, 01.458, 0.483, 00.137, 0.325
004, 04.954, 0.234, 01.605, 0.510, 00.091, 0.256
005, 04.748, 0.162, 02.304, 0.475, 00.374, 0.363
006, 03.251, 0.329, 01.762, 0.421, 00.755, 0.250
007, 04.480, 0.235, 01.900, 0.425, 00.414, 0.340
008, 03.622, 0.386, 01.211, 0.421, 00.480, 0.193
009, 04.009, 0.302, 01.459, 0.514, 00.221, 0.184

#gambleatts(gambleid, gambleclass)
000, 15
001, 7
002, 8
003, 4
004, 9
005, 5
006, 11
007, 3
008, 14
009, 2

#link(gambleid, gambleid)
003, 002
003, 008
002, 008
006, 001
